nombre_cliente,apellido_cliente,nombre_pais,nombre_subcategoria,descripcion_subcategoria,nombre_producto,fecha_fabricacion,descripcion_producto,fecha,cantidad_producto,precio_unitario,iva_cobrado,subtotal,total
Santiago,Reed,Colombia,Shakan,Se trata de un estilo de bonsái en el que el tronco se inclina en un ángulo agudo,black-sea,2005-11-17,Bonsai,2012-11-27,7,205.51,172.63,1438.57,1611.20
Stella,Webb,Sweden,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,lingering-feather,2020-11-26,Herramientas,2018-05-15,4,9.63,4.62,38.52,43.14
Stella,Webb,Sweden,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,billowing-glitter,2020-02-22,Herramientas,2018-05-15,5,9.63,5.78,48.15,53.93
Stella,Webb,Sweden,Cizallas de yunque,se utilizan para cortar ramas y hojas de un bonsái con menos esfuerzo,bold-haze,2020-07-10,Herramientas,2018-05-15,4,9.63,4.62,38.52,43.14
Asher,Roberts,Colombia,Vermiculita,Es un sustrato similar a la perlita,aged-leaf,2020-07-10,Sustrato,2003-07-14,5,6.04,3.62,30.20,33.82
David,Crawford,Sweden,Kiryuzuna,También conocido como arena de río,shy-sea,2020-03-07,Sustrato,2015-12-04,4,6.04,2.90,24.16,27.06
Carter,Nelson,Colombia,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,misty-butterfly,2021-06-20,Sustrato,2011-05-02,5,6.04,3.62,30.20,33.82
Carter,Nelson,Colombia,Kiryuzuna,También conocido como arena de río,polished-resonance,2020-11-20,Sustrato,2011-05-02,5,6.04,3.62,30.20,33.82
Carter,Nelson,Colombia,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,dry-paper,2021-04-15,Macetas,2011-05-02,2,12.09,2.90,24.18,27.08
Carter,Nelson,Colombia,Macetas de arcilla,son macetas porosas que permiten una mejor circulación del aire y el agua. Sin embargo,ancient-smoke,2021-08-23,Macetas,2011-05-02,4,12.09,5.80,48.36,54.16
Zachary,Wilson,Unite Estates,Macetas de cerámica,son las macetas más comunes para los bonsáis. Están disponibles en varios tamaños,ancient-shadow,1981-03-18,Macetas,2004-11-12,4,507.74,243.72,2030.96,2274.68
Zachary,Wilson,Unite Estates,Macetas de cerámica,son las macetas más comunes para los bonsáis. Están disponibles en varios tamaños,bold-feather,1988-11-24,Macetas,2004-11-12,1,411.03,49.32,411.03,460.35
Zachary,Wilson,Unite Estates,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,summer-star,2020-05-31,Macetas,2004-11-12,4,12.09,5.80,48.36,54.16
Ryan,Baker,Ecuador,Macetas de plástico,son una opción económica para los bonsáis. Son resistentes,autumn-firefly,2021-04-26,Macetas,2007-05-24,4,12.09,5.80,48.36,54.16
Ryan,Baker,Ecuador,Ishitsuki,Se refiere a un estilo de bonsái en el que el árbol se cultiva en una roca,late-sun,2002-03-04,Bonsai,2007-05-24,5,253.87,152.32,1269.35,1421.67
Ryan,Baker,Ecuador,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,divine-resonance,2020-07-19,Herramientas,2007-05-24,5,9.63,5.78,48.15,53.93
